prec_BOW_SGD,prec_TFIDF_SGD,prec_BOW_BNB,prec_TFIDF_BNB,prec_BOW_LR,prec_TFIDF_LR,prec_BOW_MNB,prec_TFIDF_MNB
0.407546930492136,0.46645999343420774,0.4381744998183354,0.4381744998183354,0.36371092133803884,0.4668501678902492,0.41415896092132976,0.5400228191404473
0.36158058075866295,0.46128801946783365,0.4287869490043065,0.4287869490043065,0.37174063738407304,0.37237002495385124,0.3837184732186502,0.49430411293425
0.39177265828673574,0.48562103759944913,0.36370197545489624,0.36370197545489624,0.4190547517525315,0.43584577117976353,0.4028728705972756,0.46331090196532587
0.4111584827538729,0.43451110897925743,0.4426993888617781,0.4426993888617781,0.4277220181673247,0.4624278140259876,0.406878033967696,0.38073291340297455
0.3744389748555827,0.5095062618494486,0.3643327962958592,0.3643327962958592,0.40293068202384874,0.46364334357959514,0.37442627370539094,0.5387984712500536
0.4268988502935421,0.5149982240113663,0.42635603848287357,0.42635603848287357,0.43913961147056557,0.47829998410113705,0.4429677794630389,0.5454128805993942
0.4186222458055557,0.47562470433270193,0.4393952385243683,0.4393952385243683,0.41644903643480874,0.40425377468060397,0.43370659560392977,0.49845215598766335
0.41871286243836664,0.3784002367258905,0.4408028613499203,0.4408028613499203,0.4125374064537602,0.3673273183641439,0.36964155761805595,0.5405327342747112
0.34935301473436425,0.40319999016522423,0.3753725492298165,0.3753725492298165,0.30053816919721815,0.41961496714242214,0.4131258981385725,0.5002470076784101
0.3967764809113372,0.408140550124879,0.4224724922469063,0.4224724922469063,0.3943208535913366,0.4080209920257829,0.43081830458537673,0.46949128482301056
